geo,date_quarter,ddos
CZ,2020,365
CZ,2020.25,220
CZ,2020.5,161
CZ,2020.75,201
CZ,2021,247
CZ,2021.25,160
CZ,2021.5,172
CZ,2021.75,62
DE,2016.75,518
DE,2017,636
DE,2017.25,534
DE,2017.5,447
DE,2017.75,449
DE,2018,356
DE,2018.25,340
DE,2018.5,381
DE,2018.75,299
DE,2019,387
DE,2019.25,326
DE,2019.5,378
DE,2019.75,452
DE,2020,562
DE,2020.25,842
DE,2020.5,641
DE,2020.75,467
DE,2021,579
DE,2021.25,397
DE,2021.5,338
DE,2021.75,130
DK,2016.75,206
DK,2017,206
DK,2017.25,226
DK,2017.5,181
DK,2017.75,245
DK,2018,168
DK,2018.25,121
DK,2018.5,144
DK,2018.75,94
DK,2019,121
DK,2019.25,169
DK,2019.5,201
DK,2019.75,102
DK,2020,218
DK,2020.25,172
DK,2020.5,199
DK,2020.75,198
DK,2021,129
DK,2021.25,133
DK,2021.5,149
DK,2021.75,51
DO,2016.75,57
DO,2017,35
DO,2017.25,57
DO,2017.5,75
DO,2017.75,52
DO,2018,33
DO,2018.25,34
DO,2018.5,66
DO,2018.75,54
DO,2019,0
DO,2019.25,51
DO,2019.5,50
DO,2019.75,46
DO,2020,330
DO,2020.25,265
DO,2020.5,149
DO,2020.75,130
DO,2021,74
DO,2021.25,138
DO,2021.5,50
DO,2021.75,12
DZ,2016.75,85
DZ,2017,118
DZ,2017.25,133
DZ,2017.5,70
DZ,2017.75,115
DZ,2018,79
DZ,2018.25,99
DZ,2018.5,71
DZ,2018.75,0
DZ,2019,103
DZ,2019.25,142
DZ,2019.5,39
DZ,2019.75,261
DZ,2020,308
DZ,2020.25,185
DZ,2020.5,332
DZ,2020.75,273
DZ,2021,127
DZ,2021.25,128
DZ,2021.5,380
DZ,2021.75,40
EC,2016.75,17
EC,2017,12
EC,2017.25,20
EC,2017.5,15
EC,2017.75,21
EC,2018,9
EC,2018.25,6
EC,2018.5,13
EC,2018.75,16
EC,2019,28
EC,2019.25,17
EC,2019.5,6
EC,2019.75,7
EC,2020,295
EC,2020.25,48
EC,2020.5,47
EC,2020.75,39
EC,2021,50
EC,2021.25,26
EC,2021.5,27
EC,2021.75,10
EE,2016.75,0
EE,2017,126
EE,2017.25,64
EE,2017.5,138
EE,2017.75,64
EE,2018,91
EE,2018.25,128
EE,2018.5,101
EE,2018.75,226
EE,2019,94
EE,2019.25,62
EE,2019.5,29
EE,2019.75,57
EE,2020,27
EE,2020.25,106
EE,2020.5,86
EE,2020.75,110
EE,2021,28
EE,2021.25,66
EE,2021.5,95
EE,2021.75,0
EG,2016.75,167
EG,2017,109
EG,2017.25,223
EG,2017.5,149
EG,2017.75,99
EG,2018,79
EG,2018.25,82
EG,2018.5,44
EG,2018.75,77
EG,2019,225
EG,2019.25,209
EG,2019.5,348
EG,2019.75,410
EG,2020,293
EG,2020.25,185
EG,2020.5,311
EG,2020.75,195
EG,2021,288
EG,2021.25,56
EG,2021.5,148
EG,2021.75,76
ES,2016.75,173
ES,2017,220
ES,2017.25,238
ES,2017.5,157
ES,2017.75,233
ES,2018,168
ES,2018.25,121
ES,2018.5,136
ES,2018.75,134
ES,2019,177
ES,2019.25,168
ES,2019.5,150
ES,2019.75,286
ES,2020,503
ES,2020.25,368
ES,2020.5,295
ES,2020.75,315
ES,2021,225
ES,2021.25,254
ES,2021.5,211
ES,2021.75,65
ET,2016.75,73
ET,2017,0
ET,2017.25,0
ET,2017.5,0
ET,2017.75,100
ET,2018,0
ET,2018.25,56
ET,2018.5,0
ET,2018.75,0
ET,2019,95
ET,2019.25,52
ET,2019.5,78
ET,2019.75,84
ET,2020,44
ET,2020.25,0
ET,2020.5,40
ET,2020.75,40
ET,2021,79
ET,2021.25,83
ET,2021.5,80
ET,2021.75,66
FI,2016.75,364
FI,2017,301
FI,2017.25,254
FI,2017.5,123
FI,2017.75,138
FI,2018,163
FI,2018.25,150
FI,2018.5,162
FI,2018.75,162
FI,2019,188
FI,2019.25,143
FI,2019.5,119
FI,2019.75,220
FI,2020,135
FI,2020.25,189
FI,2020.5,128
FI,2020.75,276
FI,2021,290
FI,2021.25,141
FI,2021.5,155
FI,2021.75,77
FR,2016.75,541
FR,2017,664
FR,2017.25,711
FR,2017.5,523
FR,2017.75,466
FR,2018,371
FR,2018.25,390
FR,2018.5,339
FR,2018.75,364
FR,2019,284
FR,2019.25,378
FR,2019.5,369
FR,2019.75,481
FR,2020,588
FR,2020.25,730
FR,2020.5,546
FR,2020.75,378
FR,2021,527
FR,2021.25,484
FR,2021.5,489
FR,2021.75,181
GA,2016.75,0
GA,2017,0
GA,2017.25,0
GA,2017.5,0
GA,2017.75,0
GA,2018,0
GA,2018.25,68
GA,2018.5,0
GA,2018.75,225
GA,2019,141
GA,2019.25,0
GA,2019.5,0
GA,2019.75,266
GA,2020,306
GA,2020.25,0
GA,2020.5,51
GA,2020.75,141
GA,2021,0
GA,2021.25,48
GA,2021.5,535
GA,2021.75,0
GB,2016.75,319
GB,2017,367
GB,2017.25,338
GB,2017.5,268
GB,2017.75,354
GB,2018,293
GB,2018.25,277
GB,2018.5,245
GB,2018.75,239
GB,2019,331
GB,2019.25,257
GB,2019.5,283
GB,2019.75,308
GB,2020,327
GB,2020.25,452
GB,2020.5,382
GB,2020.75,304
GB,2021,378
GB,2021.25,276
GB,2021.5,192
GB,2021.75,90
GE,2016.75,39
GE,2017,108
GE,2017.25,35
GE,2017.5,0
GE,2017.75,114
GE,2018,0
GE,2018.25,36
GE,2018.5,77
GE,2018.75,78
GE,2019,178
GE,2019.25,77
GE,2019.5,37
GE,2019.75,0
GE,2020,29
GE,2020.25,29
GE,2020.5,128
GE,2020.75,82
GE,2021,82
GE,2021.25,118
GE,2021.5,160
GE,2021.75,61
GH,2016.75,0
GH,2017,0
GH,2017.25,75
GH,2017.5,20
GH,2017.75,20
GH,2018,20
GH,2018.25,19
GH,2018.5,92
GH,2018.75,216
GH,2019,503
GH,2019.25,106
GH,2019.5,34
GH,2019.75,16
GH,2020,42
GH,2020.25,0
GH,2020.5,36
GH,2020.75,62
GH,2021,36
GH,2021.25,35
GH,2021.5,59
GH,2021.75,12
GM,2016.75,0
GM,2017,0
GM,2017.25,0
GM,2017.5,0
GM,2017.75,0
GM,2018,0
GM,2018.25,0
GM,2018.5,0
GM,2018.75,0
GM,2019,98
GM,2019.25,0
GM,2019.5,100
GM,2019.75,0
GM,2020,90
GM,2020.25,0
GM,2020.5,0
GM,2020.75,67
GM,2021,0
GM,2021.25,0
