company_real;region_real
Акционерное общество Завод котельного оборудования;Белгородская обл., г. Алексеевка (Алексеевский район)
Закрытое акционерное общество Строймаш;Чувашская Республика Чувашия., г. Чебоксары
Общество с ограниченной ответственностью Производственно коммерческая компания Модерн инжиниринг системс;Приморский край, г. Владивосток
Акционерное общество ЛОМО;г. Санкт-Петербург 
Акционерное общество БАРС Груп;Республика Татарстан, г. Казань
Общество с ограниченной ответственностью научно производственный центр Пружина;Удмуртская респ., г. Ижевск
Общество с ограниченной ответственностью ЭлМетро Групп;Челябинская обл., г. Челябинск
Общество с ограниченной ответственностью Саратовская макаронная фабрика;Саратовская обл., г. Энгельс
Общество с ограниченной ответственностью Корпорация Маяк;Свердловская обл., г. Екатеринбург
Фонд поддержки научной научно технической и инновационной деятельности Энергия без границ;г. Москва 
Общество с ограниченной ответственностью КНС Групп;г. Москва 
Общество с ограниченной ответственностью Тюменьстальмост имени Тюменского Комсомола;Тюменская обл., п. Винзили (Тюменский район)
Акционерное общество Красноярское конструкторское бюро Искра;Красноярский край, г. Красноярск
Межрегиональное общественное учреждение Институт инженерной физики;Московская обл., г. Серпухов
Акционерное общество Научно производственное объединение Лианозовский электромеханический завод;г. Москва 
Общество с ограниченной ответственностью Совтест АТЕ;Курская обл., г. Курск
Общество с ограниченной ответственностью СПД БИРС;Республика Чувашия, г. Чебоксары
Акционерное общество Информационные спутниковые системы имени академика М Ф Решетнева;Красноярский край, г. Железногорск
Общество с ограниченной ответственностью КАНТА;Челябинская обл., г. Челябинск
Общество с ограниченной ответственностью Гарантэнерго;г. Москва 
Общество с ограниченной ответственностью Рулевые системы;Самарская обл., г. Тольятти
Общество с ограниченной ответственностью Инфраструктура ТК;г. Москва 
Открытое акционерное общество Сарапульский радиозавод;Удмуртская респ., г. Сарапул
Общество с ограниченной ответственностью Логус агро;Воронежская обл., п. Трудовое (Новоусманский район)
Общество с ограниченной ответственностью ГЕРС ИНЖИНИРИНГ;Московская обл., г. Щелково (Щелковский район)
Общество с ограниченной ответственностью ИННОТЕХ 21;Московская обл., г. Люберцы (Люберецкий район)
Открытоеакционерноеобщество ТАТАРСКОЕ СПЕЦИАЛЬНОЕ НАУЧНО РЕСТАВРАЦИОННОЕ УПРАВЛЕНИЕ;Республика Татарстан, г. Казань
Публичноеакционерноеобществоспециального машиностроения иметаллургии Мотовилихинские заводы;Пермский край, г. Пермь
Общество с ограниченной ответственностью Автомобильный завод ГАЗ;Нижегородская обл., г. Нижний Новгород
Акционерное общество Пермская научно производственная приборостроительная компания;Пермский край, г. Пермь
Акционерное общество Закаменск;Республика Бурятия, г. Закаменск (Закаменский район)
Открытое акционерное общество Ракетно космическая корпорация Энергия имени С П Королева;Московская обл., г. Королев
Открытое акционерное общество Томский электромеханический завод им В В Вахрушева;Томская обл., г. Томск
Общество с ограниченной ответственностью Завод электрохимических преобразователей;Свердловская обл., г. Новоуральск
Общество с ограниченно ответственностью Жилстройэнерго М;г. Москва 
Закрытое акционерное общество Плакарт;г. Москва, г. Щербинка
Акционерное общество Ордена Трудового Красного Знамени Всероссийский научно исследовательский институт радиоаппаратуры;г. Санкт-Петербург
Общество с ограниченной ответственностью Эттон;Республика Татарстан, г.Казань
Акционерное общество Чебоксарское производственное объединение имени В И Чапаева;Чувашская Республика - Чувашия, г.Чебоксары
Публичное акционерное общество Научно производственное объединение Сатурн;Ярославская обл., г.Рыбинск (Рыбинский район)
АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТОЧНОЙ МЕХАНИКИ;г. Санкт-Петербург
Акционерное общество НАУКА И ИННОВАЦИИ;г. Москва
Акционерное общество Кабельный завод Кавказкабель;Кабардино-Балкарская Республика, г.Прохладный
Общество с ограниченной ответственностью Руслед;Томская обл., г.Томск
Общество с ограниченной ответственностью Севкаврентген Д;Кабардино-Балкарская Республика, г.Майский (Майский район)
Общество с ограниченной ответственностью НТЦ Амплитуда;г.Москва, г.Зеленоград
Публичное акционерное общество КАМАЗ;Республика Татарстан, г.Набережные Челны
Закрытое акционерное общество Региональный центр лазерных технологий;Свердловская обл., г.Екатеринбург
Акционерное общество ИНСТИТУТ РЕАКТОРНЫХ МАТЕРИАЛОВ;Свердловская обл., г.Заречный
Акционерное общество Научно производственное объединение Андроидная техника;г. Москва
Общество с ограниченной ответственностью Научно техническая и коммерческая фирма Си Норд;г. Санкт-Петербург
Общество с ограниченной ответственностью Сибирский Институт Горного Дела;Кемеровская обл., г.Кемерово
Открытое акционерное общество Корпорация Росхимзащита;Тамбовская обл., г.Тамбов
Акционерное общество Технодинамика;г. Москва
Общество с ограниченной ответственностью Евро Телеком;Чеченская Республика, г.Грозный
Общество с Ограниченной Ответственностью Тепловое Оборудование;Ленинградская обл., г.Тосно (Тосненский район)
Общество с ограниченной ответственностью Алтайский геофизический завод;Алтайский край, г.Барнаул
Общество с ограниченной ответственностью Научно Производственное Объединение Институт Переработки Газа и Газового Конденсата;г. Москва
Общество с ограниченной ответственностью НПТ Климатика;г. Москва
Общество с ограниченной ответственностью Синтез ОКА;Нижегородская обл., г.Дзержинск
Публичное акционерное общество МегаФон;г. Санкт-Петербург
Акционерное общество Научно исследовательский институт Полюс им М Ф Стельмаха;г. Москва
Общество с ограниченной ответственностью Рулевые системы;Самарская обл., г.Тольятти
Акционерное общество Информационные спутниковые системы имени академика М Ф Решетнева;Красноярский край, г.Железногорск
Общество с ограниченной ответственностью Научно производственное предприятие Прикладные Перспективные Технологии АпАТэК;г. Москва
Акционерное общество Научно производственное объединение СПЛАВ;Тульская обл., г.Тула
Акционерное общество ГИДРОГАЗ;Воронежская обл., г.Воронеж
Общество с ограниченной ответственностью СЕВЕРМАШ;Ярославская обл., г.Рыбинск (Рыбинский район)
Общество с ограниченной ответственностью АДИЯР;Ярославская обл., г.Рыбинск (Рыбинский район)
Акционерное общество ЭлеСи;Томская обл., г.Томск
Общество с ограниченной ответственностью Завод пластмассовых изделий Альтернатива;Республика Башкортостан, г.Октябрьский
Общество с ограниченной ответственностью Компания РС НТ;г. Москва
Общество с ограниченной ответственностью Ядерные Технологии в Медицине;г. Москва
Общество с ограниченной ответственностью Предприятие ЭЛТЕКС;Новосибирская обл., г.Новосибирск
Общество с ограниченной ответственностью ФайберТрейд;Новосибирская обл., г.Новосибирск
Общество с ограниченной ответственностью Уральский механический завод;Челябинская обл., г.Челябинск
Закрытое акционерное общество Медисорб;Пермский край, г.Пермь
Акционерное общество Авиадвигатель;Пермский край, г.Пермь
Закрытое акционерное общество Научно производственный холдинг ВМП;Свердловская обл., г.Екатеринбург
Закрытое акционерное общество Полицелл;Владимирская обл., г.Владимир
Акционерное общество Сибирско Уральская Алюминиевая компания;Свердловская обл., г.Каменск-Уральский
Акционерное общество Российская корпорация ракетно космического приборостроения и информационных систем;г. Москва
Акционерное общество РУСАЛ Красноярский Алюминиевый Завод;Красноярский край, г.Красноярск
Общество с ограниченной ответственностью Сервисный центр Химаналитсервис;Нижегородская обл., г.Дзержинск
Открытое акционерное общество Каменск Уральский металлургический завод;Свердловская обл., г.Каменск-Уральский
Акционерное общество Газпромнефть Омский НПЗ;Омская обл., г.Омск
Общество с ограниченной ответственностью ПРИМОРСКИЙ КОНДИТЕР;Приморский край, г.Владивосток
Федеральное государственное унитарное предприятие Государственный завод медицинских препаратов;г. Москва
Общество с ограниченной ответственностью Азовский металлообрабатывающий завод;Ростовская обл., г.Азов
Акционерное общество Салаватский химический завод;Республика Башкортостан, г.Салават
Акционерное общество Научно производственное предприятие Радиосвязь;Красноярский край, г.Красноярск
Общество с ограниченной ответственностью ЭКСИ Технология;Нижегородская обл., г.Нижний Новгород
Общество с ограниченной ответственностью НекстБио;г. Москва
Общество с ограниченной ответственностью Открытый код;Самарская обл., г.Самара
Общество с ограниченной ответственностью Казанский агрегатный завод;Республика Татарстан, г.Казань
Акционерное общество РИФ;Воронежская обл., г.Воронеж
Акционерное общество Опытное конструкторское бюро Новатор;Свердловская обл., г.Екатеринбург
Акционерное общество ГМС Нефтемаш;Тюменская обл., г.Тюмень
Открытое акционерное общество Томский электромеханический завод им В В Вахрушева;Томская обл., г.Томск
Акционерное общество Научно производственное объединение Опытно конструкторское бюро имени М П Симонова;Татарстан Республика, г.Казань
Общество с ограниченной ответственностью Вебер Комеханикс Поволжье;Самарская обл., г.Самара
Общество с ограниченной ответственностью Южная Софтверная Компания;Ростовская обл., г.Ростов-на-Дону
Акционерное общество Цветлит;Республика Мордовия, г.Саранск
Закрытое акционерное общество ИнГеоСтрой;г. Москва
Акционерное общество Специальное конструкторско технологическое бюро КАТАЛИЗАТОР;Новосибирская обл., г.Новосибирск
Общество с ограниченной ответственностью Салаватский катализаторный завод;Республика Башкортостан, г.Салават
Акционерное общество Концерн Созвездие;Воронежская обл., г.Воронеж
Акционерное общество Научно исследовательский институт технической физики и автоматизации;г. Москва
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИЗВАРИНО ФАРМА;Московская обл., д. Изварино
Общество с ограниченной ответственностью Ангара Реактив;Иркутская обл., г.Ангарск
Общество с ограниченной ответственностью Связь Транс М;г. Москва
Акционерное общество Научно производственная фирма Микран;Томская обл., г.Томск
Акционерное общество Уральское производственное предприятие Вектор;Свердловская обл., г.Екатеринбург
Открытое акционерное общество Калужский завод электронных изделий;Калужская обл., г.Калуга
Общество с ограниченной ответственностью Профилаб;г. Санкт-Петербург
Акционерное общество Пермская научно производственная приборостроительная компания;Пермский край, г.Пермь
Акционерное общество Авиаавтоматика имени В В Тарасова;Курская обл., г.Курск
Общество с ограниченной ответственностью Научно производственный центр Авиационное литье;г. Москва
Общество с ограниченной ответственностью Ойстерс;г. Москва
Общество с ограниченной ответственностью Производственно коммерческая компания Модерн инжиниринг системс;Приморский край, г.Владивосток
Акционерное общество Ассоциация разработчиков и производителей систем мониторинга;г. Санкт-Петербург
Федеральное государственное унитарное предприятие Ордена Ленина и ордена Трудового Красного Знамени научно исследовательский институт синтетического каучука имени академика С В Лебедева;г. Санкт-Петербург
Открытое акционерное общество Ковровский электромеханический завод;Владимирская обл., г.Ковров
Открытое акционерное общество Тяжстанкогидропресс;Новосибирская обл., г.Новосибирск
Публичное акционерное общество КУЗНЕЦОВ;Самарская обл., г.Самара
Федеральное государственное унитарное предприятие Крыловский государственный научный центр;г. Санкт-Петербург
Акционерное общество Научно исследовательский институт систем связи и управления;г. Москва
Закрытое акционерное общество Макдэл Технологии;г. Москва
Общество с ограниченной ответственностью Глобал Дата Консалтинг энд Сервисез;Республика Татарстан, г.Казань
Общество с ограниченной ответственностью Объединенная Компания РУСАЛ Инженерно технологический центр;Красноярский край, г.Красноярск
Общество с ограниченной ответственностью Ульяновский автомобильный завод;Ульяновская обл., г.Ульяновск
Акционерное общество Научно производственное объединение Лианозовский электромеханический завод;г. Москва
Общество с ограниченной ответственностью Промышленная Компания Втормет;г. Москва
Акционерное общество Средне Невскиий судостроительный завод;г. Санкт-Петербург
Акционерное общество Заводская компания металлов;г. Москва
Акционерное общество Томская генерация;Томская обл., г.Томск
Общество с ограниченной ответственностью Дневник ру;г. Санкт-Петербург
Общество с ограниченной ответственностью Прикамская гипсовая компания;Пермский край, г.Пермь
Общество с ограниченной ответственностью Научно производственное предприятие ЭКРА;Чувашская Республика - Чувашия, г.Чебоксары
Акционерное общество Особое конструкторское бюро кабельной промышленности;Московская обл., г.Мытищи (Мытищинский район)
Акционерное общество ЗАВОД ЭЛЕКОН;Республика Татарстан, г.Казань
Федеральное государственное унитарное предприятие Уральский электромеханический завод;Свердловская обл., г.Екатеринбург
Закрытое акционерное общество Безопасные технологии;г. Санкт-Петербург
Общество с ограниченной ответственностью КНС Групп;г. Москва
Публичное акционерное общество Татнефть имени В Д Шашина;Республика Татарстан, г.Альметьевск (Альметьевский район)
Закрытое акционерное общество КАРДАН;Самарская обл., г.Сызрань
Закрытое акционерное общество Чебоксарское предприятие Сеспель;Чувашская Республика - Чувашия, г.Чебоксары
Закрытое акционерное общество Фирма Транслайн;г. Санкт-Петербург
Общество с ограниченной ответственностью фирма Торговый Дом Ярмарка;Республика Карелия, г.Петрозаводск
Общество с ограниченной ответственностью Научно производственное предприятие Лазерные системы;г. Санкт-Петербург, г.Стрельна
Открытое акционерное общество Уфимское научно производственное предприятие МОЛНИЯ;Республика Башкортостан, г.Уфа
Общество с ограниченной ответственностью ИНВЭНТ Электро;Республика Татарстан, г.Столбище (Лаишевский район)
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ ПОМОЩЬ;Нижегородская обл., г.Нижний Новгород
Общество с ограниченной ответственностью Дубовицкое;Орловская обл., г.Дубовик (Малоархангельский район)
Общество с ограниченной ответственностью СУАЛ ПМ;Иркутская обл., г.Шелехов
Закрытое акционерное общество научно производственное объединение УНИХИМТЕК;Московская обл., г.Климовск
Общество с ограниченной ответственностью ГЕРС ИНЖИНИРИНГ;Московская обл., г.Щелково (Щелковский район)
Общество с ограниченной ответственностью Павловский автобусный завод;Нижегородская обл., г.Павлово (Павловский район)
Публичное акционерное общество Радиофизика;г. Москва
Публичное акционерное общество Уфимское моторостроительное производственное объединение;Республика Башкортостан, г.Уфа
Общество с ограниченной ответственностью Инженерный центр пожарной робототехники ЭФЭР;Республика Карелия, г.Петрозаводск
Акционерное общество Научно производственное объединение Опытно конструкторское бюро имени М П Симонова;Республика Татарстан, г.Казань
Общество с ограниченной ответственностью Фоника Гипс;Республика Татарстан, г.Сюкеево (Камско-Устьинский район)
Акционерное общество Молочный комбинат Ставропольский;Ставропольский край, г.Ставрополь
Общество с ограниченной ответственностью Завод Автокомпонент;Нижегородская обл., г.Нижний Новгород
Акционерное общество Алтайского вагоностроения;Алтайский край, г.Новоалтайск
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС ПОРОШКОВЫХ КРАСОК ПИГМЕНТ;г. Санкт-Петербург
Открытое акционерное общество Магнитогорский металлургический комбинат;Челябинская обл., г.Челябинск
АКЦИОНЕРНОЕ ОБЩЕСТВО СРЕДНЕВОЛЖСКАЯ МЕЖРЕГИОНАЛЬНАЯ АССОЦИАЦИЯ РАДИОТЕЛЕКОММУНИКАЦИОННЫХ СИСТЕМ;Самарская обл., г.Самара
Общество с ограниченной ответственностью Электростекло;г. Москва
Акционерное общество Информационные и управляющие системы;Саратовская обл., г.Саратов
Общество с ограниченной ответственностью Красноярский котельный завод;Красноярский край, г.Красноярск
Общество с ограниченной ответственностью Бюджетные и Финансовые Технологии;Белгородская обл., г.Белгород
Открытое акционерное общество ОКБ Планета;Новгородская обл., г.Великий Новгород
Общество с ограниченной ответственностью МорНефтеГазСтрой;г. Санкт-Петербург
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО РАДИО И МИКРОЭЛЕКТРОНИКА;Новосибирская обл., г.Новосибирск
Акционерное общество НЕОЛАНТ;г. Москва
Акционерное общество Светлана Электронприбор;г. Санкт-Петербург
Акционерное общество Химический завод им Л Я Карпова;Республика Татарстан, г.Менделеевск (Менделеевский район)
Акционерное общество Федеральный центр науки и высоких технологий Специальное научно производственное объединение Элерон;г. Москва
Открытое акционерное общество Эфирное;Белгородская обл., г. Алексеевка (Алексеевский район)
Акционерное общество Группа компаний Титан;Омская обл., г. Омск
Общество с ограниченной ответственностью Научно производственное предприятие ЭКРА;Чувашская Республика - Чувашия, г. Чебоксары
Общество с ограниченной ответственностью Производственная компания Альтоника;г. Москва
Общество с ограниченной ответственностью Дубовицкое;Орловская обл., с. Дубовик (Малоархангельский район)
Общество с ограниченной ответственностью Самара Авиагаз;Самарская обл., г. Самара
Закрытое акционерное общество ТРИНИТИ Солюшнс;г. Москва
Общество с ограниченной ответственностью КАТОК;Челябинская обл., г. Челябинск
Публичное акционерное общество Машиностроительный завод имени М И Калинина г Екатеринбург;Свердловская обл., г. Екатеринбург
Акционерное общество ТСНРУ;Республика Татарстан, г. Казань
Закрытое акционерное общество Полицелл;Владимирская обл., г. Владимир
Акционерное общество Всероссийский научно исследовательский институт по переработке нефти;г. Москва
Общество с ограниченной ответственностью Опытно конструкторское бюро машиностроения Технологическое оборудование;Калининградская обл., г. Калининград
Общество с ограниченной ответственностью Ойстерс;г. Москва 
Общество с ограниченной ответственностью НИАГАРА КОМПЬЮТЕРС;г. Москва
Общество с ограниченной ответственностью Алтайский геофизический завод;Алтайский край, г. Барнаул
Федеральное государственное унитарное предприятие Уральский электромеханический завод;Свердловская обл., г. Екатеринбург
Публичное акционерное общество Научно производственное объединение Завод Волна;г. Санкт-Петербург
Акционерное общество Русские краски;Ярославская обл., г. Ярославль
Акционерное общество Шахтинский завод Гидропривод;Ростовская обл., г. Шахты
Акционерное общество Волжский электромеханический завод;Республика Марий Эл, г. Волжск
Общество с ограниченной ответственностью Уральский центр систем безопасности;Свердловская обл., г. Екатеринбург
Публичное акционерное общество Татнефть имени В Д Шашина;Республика Татарстан, г. Альметьевск (Альметьевский район)
Закрытое акционерное общество Кондор Эко;Ярославская обл., р.п. Семибратово (Ростовский район)
Акционерное общество Научно производственное предприятие Радиосвязь;Красноярский край, г. Красноярск
Общество с ограниченной ответственностью ЗАВОД ХОЛОДИЛЬНОГО МАШИНОСТРОЕНИЯ;Московская обл., р.п. Калининец (Наро-Фоминский район)
Акционерное общество Газпромнефть Омский НПЗ;Омская обл., г. Омск
Акционерное общество Концерн Центральный научно исследовательский институт Электроприбор;г. Санкт-Петербург
Акционерное общество Московский научно исследовательский институт радиосвязи;г. Москва
Акционерное общество Муромский радиозавод;Владимирская обл., г. Муром
Общество с ограниченной ответственностью КАМА КРИСТАЛЛ ТЕХНОЛОДЖИ;Республика Татарстан, г. Набережные Челны
Акционерное общество РИФ;Воронежская обл., г. Острогожск (Острогожский район)
Акционерное общество Новозыбковский машиностроительный завод;Брянская обл., г. Новозыбков
Общество с ограниченной ответственностью Промышленная Компания Вторалюминпродукт;г. Москва
Акционерное общество Уфимское научно производственное предприятие МОЛНИЯ;Республика Башкортостан, г. Уфа
Общество с ограниченной ответственностью Интеллектуальная интеграция;г. Москва
Общество с ограниченной ответственностью КАЗАНСКИЙ ДСК;Республика Татарстан, г. Казань
Общество с ограниченной ответственностью Кузбасский Центр сварки и контроля;Кемеровская обл., г. Кемерово
Общество с ограниченной ответственностью Ивтехсервис;Ивановская обл., г. Иваново
Общество с ограниченной ответственностью Связь Транс М;г. Москва 
Акционерное общество НАУЧНО ПРОИЗВОДСТВЕННАЯ ФИРМА СТАРТ;Ярославская обл., г. Рыбинск (Рыбинский район)
Общество с ограниченной ответственностью Альт Комплект;г. Москва
Общество с ограниченной ответственностью Руслед;Томская обл., г. Томск
Общество с ограниченной ответственностью Южный полюс;Краснодарский край, г. Кропоткин
Общество с ограниченной ответственностью Русэлпром;г. Москва
Общество с ограниченной ответственностью ФайберТрейд;Новосибирская обл., г. Новосибирск
Публичное акционерное общество Электромеханика;Тверская обл., г. Ржев
Акционерное общество Научно производственное объединение Компрессор;г. Санкт-Петербург
Общество с ограниченной ответственностью Торговый дом Руст 95;г. Москва
Общество с ограниченной ответственностью фирма Торговый Дом Ярмарка;Республика Карелия, г. Петрозаводск 
Общество с ограниченной ответственностью ОКСтройбис;г. Москва
Общество с ограниченной ответственностью;Челябинская обл., г. Миасс
Публичное акционерное общество КУЗНЕЦОВ;Самарская обл., г. Самара
Общество с ограниченной ответственностью Тверская Инжиниринговая Компания;Тверская обл., г. Тверь
Акционерное общество Опытно конструкторское бюро Аэрокосмические системы;Московская обл., г. Дубна
Закрытое акционерное общество Мезон;Вологодская обл., г. Вологда
Общество с ограниченной ответственностью Альфа стил;г. Санкт-Петербург
Общество с ограниченной ответственностью Инвестиционная Промышленная Компания;Республика Удмуртская, г. Ижевск
Общество с ограниченной ответственностью СУАЛ ПМ;Иркутская обл., г. Шелехов
Акционерное общество Уральское производственное предприятие Вектор;Свердловская обл., г. Екатеринбург
Общество с ограниченной ответственностью Павловский автобусный завод;Нижегородская обл., г. Павлово (Павловский район)
Акционерное общество Русская механика;Ярославская обл., г. Рыбинск (Рыбинский район)
Общество с ограниченной ответственностью Экоальянс;Свердловская обл., г. Новоуральск
Общество с ограниченной ответственностью Завод пластмассовых изделий Альтернатива;Республика Башкортостан, г. Октябрьский
Акционерное общество НАУЧНО ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТОЧНОЙ МЕХАНИКИ;г. Санкт-Петербург
Общество с ограниченной ответственностью Геопроектизыскания;г. Москва
Акционерное общество Цветлит;Республика Мордовия, г. Саранск
Акционерное общество Московский Опытный Завод Буровой Техники;г. Москва, г. Зеленоград
Акционерное общество Пермский завод Машиностроитель;Пермский край, г. Пермь
Открытое акционерное общество Каменск Уральский металлургический завод;Свердловская обл., г. Каменск-Уральский
Общество с ограниченной ответственностью ССТэнергомонтаж;Московская обл., г. Мытищи
Общество с ограниченной ответственностью Центр научно технического сотрудничества ХимБиоБезопасность;г. Москва
Общество с ограниченной ответственностью НОРДЕНА;г. Санкт-Петербург
Общество с ограниченной ответственностью АСТ СОФТ;Челябинская обл., г. Челябинск
Акционерное общество Научно исследовательский институт полупроводниковых приборов;Томская обл., г. Томск
Публичное акционерное общество Приаргунское производственное горно химическое объединение;Забайкальский край, г. Краснокаменск (Краснокаменский район)
Общество с ограниченной ответственностью НПО СЕВЕР;г. Москва
Общество с ограниченной ответственностью Тролза Электро;Саратовская обл., г. Энгельс
Общество с ограниченной ответственностью Промышленная компания МИОН;Томская обл., г. Томск
Акционерное общество Завод ПРОТОН;г. Москва, г. Зеленоград
Общество с ограниченной ответственностью ПРИМОРСКИЙ КОНДИТЕР;Приморский край, г. Владивосток
Общество с ограниченной ответственностью Электромашина;Кемеровская обл., г. Кемерово
Открытое акционерное общество Текстильмаш;Чувашская Республика - Чувашия, г. Чебоксары
Общество с ограниченной ответственностью Проектно производственная фирма Технические системы;Удмуртская Республика, г. Глазов
Закрытое акционерное общество Медисорб;Пермский край, г. Пермь
