line;company;region;good;win;comment
1;Сельскохозяйственный производственный кооператив Красный Рог ; Брянская обл., пос. Озаренный;0;;3
1;Закрытое акционерное общество Институт Радарной Метеорологии ; Ленинградская обл., пос. Воейково;1;1;
1;Открытое акционерное общество СИБУР Холдинг ;г.Москва ;0;;2
1;Общество с ограниченной ответственностью Энгельсское приборостроительное объединение Сигнал ;Саратовская обл., г. Энгельс;0;;2
1;Общество с ограниченной ответственностью Торговый дом завода Красный Октябрь ;Кемеровская обл., г. Ленинск-Кузнецкий ;0;;2
1;Открытое акционерное общество ГИДРОСТРОЙ ;Московская обл., пгт Богородское ;0;;1
1;Общество с ограниченной ответственностью Технологичские системы защитных покрытий ;Московская обл., г. Щербинка ;0;;3
1;Федеральное государственное унитарное предприятие Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики ;Нижегородская обл., г. Саров ;1;;
1;Открытое акционерное общество Череповецкий Азот ;Вологодская обл., г. Череповец;0;;2
1;Открытое акционерное общество Аммофос ;Вологодская обл., г. Череповец;1;;
1;Открытое акционерное общество Рузаевский завод химического машиностроения ;Республика Мордовия Рузаевка-6 ;1;1;
1;Открытое акционерное общество Ульяновское конструкторское бюро приборостроения ;г.Ульяновск;1;;
1;Общество с ограниченной ответственностью Техно ТОР ;г. Нижний Новгород ;1;;
1;Федеральное государственное унитарное предприятие Российский научный центр Прикладная химия ;г. Санкт-Петербург;0;;2
1;Закрытое Акционерное Общество Авикомп Сервисез ;г.Москва ;1;1;
1;Закрытое Акционерное Общество УНИВЕРСАЛ-КОНТАКТНЫЕ СЕТИ ;г. Санкт-Петербург;1;1;
1;Открытое акционерное общество Научно-производственный комплекс ИнТех ;г.Петрозаводск ;1;;
1;Общество с ограниченной ответственностью ЭФА медика ;г. Санкт-Петербург;0;;3
1;Федеральное государственное унитарное предприятия Научно-исследовательский институт Экран ;г.Самара;0;;3
1;Закрытое акционерное общество Волгостальконструкция ;г. Нижний Новгород ;1;;
1;Открытое акционерное общество Дальневосточный центр судостроения и судоремонта ;г. Владивосток ;0;;3
1;Открытое акционерное общество РИФ ;г. Воронеж;1;;
1;Федеральное государственное унитарное предприятие Самарский электромеханический завод ;г.Самара;1;;
1;Открытое акционерное общество РОССКАТ ;Самарская обл., г. Нефтегорск ;1;;
1;Открытое Акционерное Общество Средне-Невскиий судостроительный завод ;г. Санкт-Петербург;0;;2
1;Закрытое акционерное общество Воронежский завод полупроводниковых приборов Микрон ;г. Воронеж;1;;
1;Открытое акционерное общество Саста ;Рязанская обл., г. Сасово ;1;;
1;Общество с ограниченной ответственностью Нефтекамский машиностроительный завод ;г. Нефтекамск;1;1;
1;Общество с ограниченной ответственностью Фирма Микросистемы ;г.Москва;1;;
1;Открытое Акционерное общество Воронежсинтезкаучук ;г. Воронеж;1;;
1;Закрытое Акционерное Общество Центр научно-технических услуг Динамика ;Московская обл., г. Жуковский ;1;;
1;Общество с ограниченной ответственностью Аэроход-НН ;г. Нижний Новгород ;0;;3
1;Общество с ограниченной ответственностью Компания ЛАРГА ;г. Санкт-Петербург;0;;3
1;Открытое акционерное общество Таганрогский авиационный научно – технический комплекс им. Г. М. Бериева ; г. Таганрог ;0;;2
1;Открытое акционерное общество Научно-производственное предприятие Респиратор ;Московская обл., г. Орехово-Зуево ;1;;
1;Общество с ограниченной ответственностью ИНАТ-Фарма ;Московская обл., г. Апрелевка ;0;;3
1;Федеральное государственное унитарное предприятие Государственный научный центр Российской Федерации - Физико-энергетический институт имени А.И.Лейпунского ;Калужская обл., г. Обнинск ;1;;
1;Общество с ограниченной ответственностью Научно-техническое объединение ИРЭ-Полюс ;Московская обл., г. Фрязино;1;;
1;Открытое акционерное общество Соломбальский целлюлозно-бумажный комбинат ;г. Архангельск ;1;1;
1;Открытое акционерное общество Центр судоремонта Звездочка ;г. Северодвинск;1;;
1;Открытое акционерное общество Научно-производственное предприятие Радар ммс ;г. Санкт-Петербург;1;;
1;Закрытое акционерное общество Группа компаний Электрощит -ТМ Самара ;г.Самара;1;1;
1;Общество с ограниченной ответственностью Самара ЗИМ-инструмент ;г.Самара;1;;
1;Федеральное государственное унитарное предприятие Научно-производственное объединение автоматики имени академика Н.А.Семихатова ;г. Екатеринбург ;1;;
1;Федеральное государственное унитарное предприятие Производственное объединение Октябрь ;г. Каменск-Уральский ;1;;
